region,year,indicator,value,unit,theme,source_csv,source_label,inherited,survey_type,dt_years
Upper West,2008,asfr_15_19,70.0,births/1000,adolescent,fertility-rates,Upper West,False,DHS,5.0
Upper West,2014,asfr_15_19,70.0,births/1000,adolescent,fertility-rates,Upper West,False,DHS,6.0
Upper West,2016,asfr_15_19,42.0,births/1000,adolescent,fertility-rates,Upper West,False,MIS,2.0
Upper West,2019,asfr_15_19,90.0,births/1000,adolescent,fertility-rates,Upper West,False,MIS,3.0
Upper West,2022,asfr_15_19,57.0,births/1000,adolescent,fertility-rates,Upper West,False,DHS,3.0
Western,1988,asfr_15_19,134.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,DHS,
Western,1993,asfr_15_19,150.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,DHS,5.0
Western,1998,asfr_15_19,87.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,DHS,5.0
Western,2003,asfr_15_19,76.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,DHS,5.0
Western,2008,asfr_15_19,58.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,DHS,5.0
Western,2014,asfr_15_19,63.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,DHS,6.0
Western,2016,asfr_15_19,94.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,MIS,2.0
Western,2019,asfr_15_19,94.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,MIS,3.0
Western,2022,asfr_15_19,76.0,births/1000,adolescent,fertility-rates,Western (post 2022),True,DHS,3.0
Western North,1988,asfr_15_19,134.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,DHS,
Western North,1993,asfr_15_19,150.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,DHS,5.0
Western North,1998,asfr_15_19,87.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,DHS,5.0
Western North,2003,asfr_15_19,76.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,DHS,5.0
Western North,2008,asfr_15_19,58.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,DHS,5.0
Western North,2014,asfr_15_19,63.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,DHS,6.0
Western North,2016,asfr_15_19,94.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,MIS,2.0
Western North,2019,asfr_15_19,94.0,births/1000,adolescent,fertility-rates,Western (pre 2022),True,MIS,3.0
Western North,2022,asfr_15_19,56.0,births/1000,adolescent,fertility-rates,Western North,False,DHS,3.0
Volta,1988,asfr_15_19,141.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,DHS,
Volta,1993,asfr_15_19,71.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,DHS,5.0
Volta,1998,asfr_15_19,80.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,DHS,5.0
Volta,2003,asfr_15_19,103.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,DHS,5.0
Volta,2008,asfr_15_19,79.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,DHS,5.0
Volta,2014,asfr_15_19,107.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,DHS,6.0
Volta,2016,asfr_15_19,68.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,MIS,2.0
Volta,2019,asfr_15_19,90.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,MIS,3.0
Volta,2022,asfr_15_19,44.0,births/1000,adolescent,fertility-rates,Volta (post 2022),True,DHS,3.0
Oti,1988,asfr_15_19,141.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,DHS,
Oti,1993,asfr_15_19,71.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,DHS,5.0
Oti,1998,asfr_15_19,80.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,DHS,5.0
Oti,2003,asfr_15_19,103.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,DHS,5.0
Oti,2008,asfr_15_19,79.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,DHS,5.0
Oti,2014,asfr_15_19,107.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,DHS,6.0
Oti,2016,asfr_15_19,68.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,MIS,2.0
Oti,2019,asfr_15_19,90.0,births/1000,adolescent,fertility-rates,Volta (pre 2022),True,MIS,3.0
Oti,2022,asfr_15_19,73.0,births/1000,adolescent,fertility-rates,Oti,False,DHS,3.0
Ahafo,1988,asfr_15_19,149.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,
Ahafo,1993,asfr_15_19,107.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,5.0
Ahafo,1998,asfr_15_19,93.0,births/1000,adolescent,fertility-rates,Brong-Ahafo,True,DHS,5.0
